Team_Name,City,From,To,W,L,Win_Percentage,Championships_Division,Championships_Conference,Championships,Years_In_Playoffs
Diamondbacks,Arizona,1998,2026,"2,176","2,275",0.489,5,2,1,7
Athletics,Athletics,1901,2026,"9,413","9,953",0.486,17,15,9,29
Braves,Atlanta,1876,2026,"11,200","11,042",0.504,23,18,4,30
Orioles,Baltimore,1901,2026,"9,204","10,178",0.475,10,7,3,16
Sox,Boston Red,1901,2026,"10,050","9,346",0.518,10,14,9,26
Cubs,Chicago,1876,2026,"11,426","10,846",0.513,8,17,3,22
Sox,Chicago White,1901,2026,"9,660","9,724",0.498,6,6,3,11
Reds,Cincinnati,1882,2026,"11,026","10,852",0.504,10,10,5,17
Guardians,Cleveland,1901,2026,"9,950","9,450",0.513,13,6,2,18
Rockies,Colorado,1993,2026,"2,370","2,828",0.456,0,1,0,5
Tigers,Detroit,1901,2026,"9,770","9,651",0.503,7,11,4,18
Astros,Houston,1962,2026,"5,102","5,051",0.503,14,5,2,18
Royals,Kansas City,1969,2026,"4,297","4,712",0.477,8,4,2,10
Angels,Los Angeles,1961,2026,"5,101","5,214",0.495,9,1,1,10
Dodgers,Los Angeles,1884,2026,"11,537","10,141",0.532,23,27,9,39
Marlins,Miami,1993,2026,"2,391","2,800",0.461,0,2,2,4
Brewers,Milwaukee,1969,2026,"4,413","4,602",0.49,8,1,0,11
Twins,Minnesota,1901,2026,"9,339","10,054",0.482,13,6,3,18
Mets,New York,1962,2026,"4,906","5,237",0.484,6,5,2,11
Yankees,New York,1903,2026,"10,881","8,223",0.57,21,41,27,60
Phillies,Philadelphia,1883,2026,"10,311","11,400",0.475,14,8,2,18
Pirates,Pittsburgh,1882,2026,"10,920","10,916",0.5,9,9,5,17
Padres,San Diego,1969,2026,"4,227","4,795",0.469,5,2,0,9
Giants,San Francisco,1883,2026,"11,628","10,110",0.535,9,23,8,27
Mariners,Seattle,1977,2026,"3,697","4,031",0.478,4,0,0,6
Cardinals,St. Louis,1882,2026,"11,371","10,494",0.52,15,23,11,32
Rays,Tampa Bay,1998,2026,"2,176","2,271",0.489,4,2,0,9
Rangers,Texas,1961,2026,"4,908","5,390",0.477,7,3,1,9
Jays,Toronto Blue,1977,2026,"3,861","3,865",0.5,7,3,2,11
Nationals,Washington,1969,2026,"4,338","4,674",0.481,5,1,1,6
