Team_Name,City,From,To,W,L,Win_Percentage,Years_In_Playoffs,Championships_Division,Championships_Conference,Championships
Hawks,Atlanta,1949-50,2025-26,3013,3088,0.494,50,12,0,1
Celtics,Boston,1946-47,2025-26,3751,2527,0.597,63,35,11,18
Nets,Brooklyn,1967-68,2025-26,2074,2702,0.434,31,5,2,2
Hornets,Charlotte,1988-89,2025-26,1237,1640,0.43,11,0,0,0
Bulls,Chicago,1966-67,2025-26,2453,2391,0.506,36,9,6,6
Cavaliers,Cleveland,1970-71,2025-26,2148,2369,0.476,26,8,5,1
Mavericks,Dallas,1980-81,2025-26,1862,1845,0.502,25,5,3,1
Nuggets,Denver,1967-68,2025-26,2471,2306,0.517,41,13,1,1
Pistons,Detroit,1948-49,2025-26,2931,3231,0.476,44,11,5,3
Warriors,Golden State,1946-47,2025-26,3054,3213,0.487,39,12,7,7
Rockets,Houston,1967-68,2025-26,2473,2297,0.518,36,9,4,2
Pacers,Indiana,1976-77,2025-26,1999,2033,0.496,29,6,2,0
Clippers,Los Angeles,1970-71,2025-26,1935,2589,0.428,20,3,0,0
Lakers,Los Angeles,1948-49,2025-26,3653,2515,0.592,66,34,19,17
Grizzlies,Memphis,1995-96,2025-26,1071,1404,0.433,14,2,0,0
Heat,Miami,1988-89,2025-26,1601,1448,0.525,27,16,7,3
Bucks,Milwaukee,1968-69,2025-26,2469,2220,0.527,37,19,3,2
Timberwolves,Minnesota,1989-90,2025-26,1245,1713,0.421,14,1,0,0
Pelicans,New Orleans,2002-03,2025-26,878,1054,0.454,9,1,0,0
Knicks,New York,1946-47,2025-26,3078,3191,0.491,47,8,4,2
Thunder,Oklahoma City,1967-68,2025-26,2602,2168,0.545,35,13,5,2
Magic,Orlando,1989-90,2025-26,1401,1566,0.472,19,8,2,0
76ers,Philadelphia,1949-50,2025-26,3170,2935,0.519,55,12,5,3
Suns,Phoenix,1968-69,2025-26,2510,2179,0.535,34,8,3,0
Blazers,Portland Trail,1970-71,2025-26,2370,2156,0.524,38,6,3,1
Kings,Sacramento,1948-49,2025-26,2810,3359,0.456,30,6,0,1
Spurs,San Antonio,1967-68,2025-26,2779,1996,0.582,48,22,6,5
Raptors,Toronto,1995-96,2025-26,1172,1302,0.474,14,7,1,1
Jazz,Utah,1974-75,2025-26,2216,1980,0.528,31,11,2,0
Wizards,Washington,1961-62,2025-26,2307,2944,0.439,30,8,4,1
